"Population 1 January and population changes during the calendar year,"
"by contents and time"

" ";"1735";"1736";"1737";"1738";"1739";"1740";"1741";"1742";"1743";"1744";"1745";"1746";"1747";"1748";"1749";"1750";"1751";"1752";"1753";"1754";"1755";"1756";"1757";"1758";"1759";"1760";"1761";"1762";"1763";"1764";"1765";"1766";"1767";"1768";"1769";"1770";"1771";"1772";"1773";"1774";"1775";"1776";"1777";"1778";"1779";"1780";"1781";"1782";"1783";"1784";"1785";"1786";"1787";"1788";"1789";"1790";"1791";"1792";"1793";"1794";"1795";"1796";"1797";"1798";"1799";"1800";"1801";"1802";"1803";"1804";"1805";"1806";"1807";"1808";"1809";"1810";"1811";"1812";"1813";"1814";"1815";"1816";"1817";"1818";"1819";"1820";"1821";"1822";"1823";"1824";"1825";"1826";"1827";"1828";"1829";"1830";"1831";"1832";"1833";"1834";"1835";"1836";"1837";"1838";"1839";"1840";"1841";"1842";"1843";"1844";"1845";"1846";"1847";"1848";"1849";"1850";"1851";"1852";"1853";"1854";"1855";"1856";"1857";"1858";"1859";"1860";"1861";"1862";"1863";"1864";"1865";"1866";"1867";"1868";"1869";"1870";"1871";"1872";"1873";"1874";"1875";"1876";"1877";"1878";"1879";"1880";"1881";"1882";"1883";"1884";"1885";"1886";"1887";"1888";"1889";"1890";"1891";"1892";"1893";"1894";"1895";"1896";"1897";"1898";"1899";"1900";"1901";"1902";"1903";"1904";"1905";"1906";"1907";"1908";"1909";"1910";"1911";"1912";"1913";"1914";"1915";"1916";"1917";"1918";"1919";"1920";"1921";"1922";"1923";"1924";"1925";"1926";"1927";"1928";"1929";"1930";"1931";"1932";"1933";"1934";"1935";"1936";"1937";"1938";"1939";"1940";"1941";"1942";"1943";"1944";"1945";"1946";"1947";"1948";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Population";616109;622197;626986;630253;634164;637769;634504;621807;613379;615673;622417;629375;634866;637553;639043;641980;645838;650905;657090;664320;670545;676082;683096;690189;695025;700793;708274;715154;716837;717179;720192;722269;726856;733160;739180;745183;750811;753835;744813;736347;740605;747275;754040;761668;767005;770747;776842;783433;787121;790144;790325;790390;794715;798418;799629;802666;809477;816914;825362;834803;843458;851048;858936;866771;875279;881499;882951;883284;885102;887760;892721;900193;906734;909830;903529;896479;896566;900332;901580;899999;904777;911996;926488;940301;951387;963065;977034;991073;1004521;1020938;1035345;1053000;1070784;1086318;1100255;1116466;1131000;1143834;1157091;1169264;1180259;1196000;1208808;1219007;1229319;1235924;1246355;1262454;1278739;1293646;1309898;1328471;1344984;1357678;1369089;1384149;1399733;1418073;1432870;1446641;1467398;1490047;1511175;1530312;1556076;1583525;1608653;1619102;1634869;1657997;1678510;1701756;1712787;1720933;1729242;1732655;1741162;1751544;1762313;1776528;1796752;1818853;1838858;1864285;1889385;1914867;1923283;1922613;1916921;1921712;1936404;1951429;1965217;1974396;1978834;1989756;2004102;2020905;2031127;2044466;2068848;2097328;2126024;2157418;2190196;2217971;2242995;2266827;2284143;2291392;2303595;2313549;2324832;2333092;2358036;2376952;2390402;2411190;2435178;2458569;2486269;2509263;2535092;2565994;2589463;2616274;2653054;2682680;2707000;2719233;2738298;2755331;2770880;2778851;2790497;2799713;2815164;2832599;2850457;2866229;2882182;2896239;2910798;2926686;2944920;2963909;2982224;2998244;3019521;3045337;3075084;3107269;3146497;3183525;3218499;3249954;3280296;3311446;3344010;3377766;3410726;3445673;3475890;3507986;3538001;3567707;3594771;3624829;3653006;3680068;3708609;3737726;3768298;3800780;3832192;3863221;3888305;3917773;3948235;3972990;3997525;4017101;4035202;4051208;4066134;4078900;4092340;4107063;4122511;4134353;4145845;4159187;4175521;4198289;4220686;4233116;4249830;4273634;4299167;4324815;4348410;4369957;4392714;4417599;4445329;4478497;4503436;4524066;4552252;4577457;4606363;4640219;4681134;4737171;4799252;4858199;4920305;4985870;5051275;5109056;5165802;5213985;5258317
"Livebirths, total";17850;18845;18860;17405;19300;18401;16981;15989;17015;18176;19861;18351;20309;20278;20472;19083;21906;21113;22147;22733;21882;23655;22864;22481;21879;23940;23380;23533;22514;23614;22536;22370;23444;22140;22846;23515;23325;20936;17407;20607;24424;21922;23331;23612;23862;24711;24053;23944;21554;23874;22657;23979;23070;24405;24365;25596;26369;28246;28039;28069;27249;27018;28173;28010;28540;26415;24953;24021;25805;24301;26868;27447;26940;25335;20172;24083;24805;26612;23525;22085;27650;32259;30300;29102;30537;32309;34166;32869;34375;33388;35856;37006;34538;34767;37280;36307;35225;34400;35718;37240;38780;35367;34842;37098;32881;34548;37372;39056;38800;38973;41200;41528;41610;40554;44113;43082;44899;44219;46039;49896;49438;48311;50198;51671;54556;53074;49546;52190;53905;53158;53939;54166;51607;50872;49985;50618;51163;52592;52749;55259;56856;57699;58717;59066;61106;59315;57778;58762;59440;61019;61231;60466;61827;60052;58811;60747;61901;59933;61823;60889;63318;63254;64333;65926;65968;66229;67303;66494;65470;64143;62601;62091;61302;61686;63324;61486;61727;61409;61294;62111;58975;61120;63969;63468;59486;69326;64610;62908;61731;58021;54066;54163;50175;49881;48372;47844;45989;45451;42114;41833;41321;42240;43808;45319;46603;47943;45773;53225;57281;62241;61814;70727;67625;65618;63052;62410;60571;62543;62985;62739;63552;64171;63063;62985;63005;61880;62555;62254;63290;65570;66277;67061;66779;67350;67746;64551;65550;64260;61208;59603;56345;53474;50877;51749;51580;51039;50708;51245;49937;50274;51134;52514;54027;57526;59303;60939;60808;60109;59678;60092;60292;60927;59801;58352;59298;59234;56696;55434;56458;56951;56756;58545;58459;60497;61807;61442;60220;60255;58995;59084;59058;58890;..
"Death, total";11726;12791;15337;14393;14489;16009;25907;32457;17404;13197;11352;12943;14738;20474;17297;16384;16888;15998;14892;15526;16640;17821;14672;16485;18204;15830;16027;16627;25555;19386;20241;20010;16136;16340;16100;17606;17176;20231;35362;18784;16933;15270;15655;15232;20768;19523;16051;17563;19357;18825;26144;19164;18034;20834;24315;18371;18574;19564;18227;17399;19010;18476;19336;19580;18354;22560;24167;22277;22074;20879;18525;19006;20460;23783;32486;24029;22844;19203;26598;20334;17953;17767;16487;18016;18859;18340;20127;19421;17958;18981;18201;19609;19391;21217;21457;22161;22502;21254;23656;26356;23151;23134;25218;26581;26652;24593;21649;22847;23069;22297;22303;23887;27489;27916;25226;23971;24092;25565;26391;23362;25362;25357;26017;24796;26738;27398;31493;32502;31076;29692;28066;29106;31693;31568;29656;28171;29453;29257;29979;32705;33871;34485;31252;29950;28736;31065;32716;35786;32545;32071;31985;31844;31904;34126;35235;35961;35621;36218;33537;34754;32582;32101;32873;33228;36935;35345;33821;31670;33847;32895;34050;31668;33345;33366;32111;32207;31691;32663;32442;33280;33425;34910;34699;44218;35821;33634;30698;32484;31543;30850;30481;29933;31141;30301;32023;29616;30674;30102;28943;28340;29747;30100;30217;29211;29870;32045;32209;32062;31623;32652;30030;29220;29894;28375;29082;29699;27736;28417;28412;29158;29099;29981;30560;31645;31761;32543;33313;34318;36850;35171;35317;36010;36216;37668;38994;38723;38981;39375;39958;39464;40061;40216;39824;40682;41632;41340;41893;41454;42224;42581;44372;43560;44959;45354;45173;46021;44923;44731;46597;44071;45190;43860;44595;44112;45170;44002;43981;44465;42478;41200;41232;41253;41954;41712;41449;41499;41393;41992;41282;40394;40727;40726;..
"In-migration";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6046;5967;6454;6005;7089;8092;12263;10161;10586;13536;11426;12778;11983;12406;12148;12446;15379;15350;15641;17383;19297;18388;17383;19209;19551;18955;19403;18825;17831;18776;19698;20468;20063;19688;21858;24196;31149;29964;25847;25494;26283;26743;31711;26911;25678;26407;31957;36704;41841;36542;34264;40122;35957;36482;40148;45776;61774;66961;65186;73852;79498;78570;75789;70030;67276;66800;..
"Emigration";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;..;53;..;..;..;..;..;..;..;..;..;..;200;200;100;400;300;400;700;1600;1200;1100;1300;1600;1400;4000;3700;2640;4030;6050;5950;1600;3200;6400;2500;1800;1900;8900;5250;1100;4300;4000;15455;12829;13211;18070;14838;12276;13865;10352;4601;4048;4355;3206;4863;7608;20212;25976;28804;22167;14776;13981;15158;20741;21452;12642;10991;13341;17049;18778;5642;6207;6679;4669;4859;6699;10931;12745;20343;26784;22264;21059;21967;22135;8497;16152;18912;12477;9105;9876;8522;4572;5212;2518;1226;2432;5581;4627;6456;18287;8492;7009;9326;11881;8832;8029;3673;825;436;344;485;462;526;647;818;687;278;..;..;..;..;..;973;1477;2398;2669;2295;10172;7803;7529;7295;8728;10156;12599;11266;11807;18681;10610;12534;11364;14264;14021;13391;13022;13644;13526;18352;12682;13965;13939;14287;14782;14066;14369;14851;15085;14705;14522;14728;15778;15927;15630;16745;17380;19821;27300;23784;18238;16801;18903;19475;19312;20590;21257;22881;22842;26854;26309;22948;24672;23271;21709;22053;22122;23615;26549;31506;32466;31227;35716;31875;37474;40724;..
"Population increase, absolute figures";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14492;13813;11086;11678;13969;14039;13448;16417;14407;17655;17784;15534;13937;16211;14534;12834;13257;12173;10995;15741;12808;10199;10312;6605;10431;16099;16285;14907;16252;18573;16513;12694;11411;15060;15584;18340;14797;13771;20757;22649;21128;19137;25764;27449;25128;10449;15767;23128;20513;23246;11031;8146;8309;3413;8507;10382;10769;14215;20224;22101;20005;25427;25100;25482;8416;-670;-5692;4791;14692;15025;13788;9179;4438;10922;14346;16803;10222;13339;24382;28480;28696;31394;32778;27775;25024;23832;17316;7249;12203;9954;11283;8260;24944;18916;13450;20788;23988;23391;27700;22994;25829;30902;23469;26811;36780;29626;24320;12233;19065;17033;15549;7971;11646;9216;15451;17435;17858;15772;15953;14057;14559;15888;18234;18989;18315;16020;21277;25816;29747;32185;39228;37028;34974;31455;30342;31150;32564;33756;32960;34947;30217;32096;30015;29706;27064;30058;28177;27062;28541;29117;30572;32482;31412;31029;25084;29468;30462;24755;24535;19576;18101;16006;14926;12766;13440;14723;15448;11842;11492;13342;16334;22768;22397;12430;16714;23804;25533;25648;23595;21547;22757;24885;27730;33168;24939;20630;28186;25205;28906;33856;40915;56037;62081;58947;62106;65565;65405;57781;56746;48183;44332;..
